"";"Simulation";"m_mnv_log";"sd_mnv_log";"m_log_the";"sd_log_the";"m_log_logs";"sd_log_logs";"m_mnv_the";"sd_mnv_the";"m_mnvs2_the";"sd_mnvs2_the";"m_logs_the";"sd_logs_the";"m_mnvs2_logs";"sd_mnvs2_logs";"m_mnvs2_mnv";"sd_mnvs2_mnv";"gini_se"
"1";"CGN_Normal_1e3";0,00295035472135577;0,00691898431803638;-0,0861796835336558;0,224603557314821;-0,00816645713064004;0,0116909129717565;-0,0879488691041721;0,204690466136843;-0,0761205851320746;0,203990188597403;-0,0780132264030158;0,227774707338117;-0,0046813444743754;0,0117863490751726;-0,000172351180895846;0,00189555020956675;0,0424225565345037
"2";"CGN_Normal_1e4";0,00299913980999783;0,00536005880439505;-0,0911319878160319;0,224617210140766;-0,00561890365451293;0,00920036161828172;-0,102977707022391;0,214061417371753;-0,0952481710321949;0,206039116451783;-0,085513084161519;0,228820393952812;-0,0011975808840974;0,00847702906872182;-0,000201919296963585;0,00138031284434831;0,0133927713545998
"3";"CGN_Normal_1e5";0,00454203329451332;0,00594897259175617;-0,0923366987699715;0,223188642924702;-0,00588830712251998;0,00838576426133465;-0,100738868652195;0,20735995349194;-0,0981581160063513;0,204457090267401;-0,0864483916474515;0,227275075514443;-0,00109196806858268;0,00827006639019504;-0,00141584833014069;0,00105682939370787;0,00424111859436987
"4";"CGN_Uniform_1e3";0,00455218313416782;0,00687619651286142;-0,0864455491209466;0,224784572693515;-0,00843232271793086;0,0112223017026971;-0,0762640982637648;0,205718646837834;-0,0761205851320746;0,203990188597403;-0,0780132264030158;0,227774707338117;-0,0046813444743754;0,0117863490751726;-0,00142818822723914;0,00106637673042145;0,0424225565345037
"5";"CGN_Uniform_1e4";0,00469539316866594;0,0060533497562381;-0,0914522757063045;0,224637469968458;-0,00593919154478551;0,00861480144237463;-0,0916487035514261;0,216174571667951;-0,0952481710321949;0,206039116451783;-0,085513084161519;0,228820393952812;-0,0011975808840974;0,00847702906872182;-0,00142494335552625;0,00102838978110618;0,0133927713545998
"6";"CGN_Uniform_1e5";0,00454203329451332;0,00594897259175617;-0,0923366987699715;0,223188642924702;-0,00588830712251998;0,00838576426133465;-0,100738868652195;0,20735995349194;-0,0981581160063513;0,204457090267401;-0,0864483916474515;0,227275075514443;-0,00109196806858268;0,00827006639019504;-0,00141584833014069;0,00105682939370787;0,00424111859436987
"7";"NNC_Normal_1e3";-0,00486442953878975;0,00904364934871759;0,079848051117119;0,0764236424674132;-0,00613620396964502;0,0114990508397502;0,068544175415304;0,0785543895403947;0,0687283503053708;0,0784745222707986;0,085984255086764;0,0773053830076006;-0,0129242789929057;0,016468411261185;0,00018417489006675;0,00179574833512296;0,032754356058743
"8";"NNC_Normal_1e4";-0,00383245076227383;0,00474375111944687;0,0788513667584999;0,0681426123943052;-0,00455119235835948;0,0042969801828493;0,0701185294257489;0,0689894083213676;0,0701470764942623;0,0690131874279283;0,0834025591168594;0,0680364589073668;-0,0100362495262149;0,00721491749299507;0,0000285470685133816;0,000546676233446368;0,0104079591109195
"9";"NNC_Normal_1e5";-0,00386197802568601;0,00389248620451829;0,0778287233708535;0,0661618548186371;-0,00444818094833299;0,00383037350146923;0,0688883509349434;0,0667867123919371;0,0688999045768507;0,0667886474921295;0,0822769043191865;0,0660013766331817;-0,00997830808765811;0,00608120406048349;0,0000115536419073704;0,000159237874177908;0,00330175514345395
"10";"NNC_Uniform_1e3";0,00444233422666229;0,00456469783340696;0,0746649211244566;0,0768609922699216;-0,0113193339623075;0,0159262199900717;0,0717507177425727;0,0781003094660346;0,0687283503053708;0,0784745222707986;0,085984255086764;0,0773053830076006;-0,0129242789929057;0,016468411261185;-0,00242935417516069;0,00141748029956509;0,032754356058743
"11";"NNC_Uniform_1e4";0,00540149629727655;0,00327283248225484;0,0737883660536986;0,0677536976125854;-0,00961419306316078;0,0098599188529828;0,0742160666550441;0,0691159654206625;0,0701470764942623;0,0690131874279283;0,0834025591168594;0,0680364589073668;-0,0100362495262149;0,00721491749299507;-0,00253784326583978;0,00138300776552589;0,0104079591109195
"12";"NNC_Uniform_1e5";0,0054437372275163;0,00294596899616214;0,0727001744020792;0,0657971160361414;-0,00957672991710729;0,00909705878246271;0,0721976382180618;0,0664310192901543;0,0688999045768507;0,0667886474921295;0,0822769043191865;0,0660013766331817;-0,00997830808765811;0,00608120406048349;-0,00255191314531432;0,00135483731027129;0,00330175514345395
"13";"Normal_Normal_1e3";-0,00109460235354865;0,0066674387075619;0,0000495410425189574;0,0314176630105402;-0,00208968349942125;0,005783752174177;-0,000598424921406403;0,0312008855932345;-0,000376968841503078;0,031276195335641;0,00213922454194021;0,0321196161644353;-0,00302390280686891;0,00731933404108923;0,000221456079903324;0,00205895951321636;0,039234287880734
"14";"Normal_Normal_1e4";-0,00007863623581887;0,00228380712941768;0,00191943863589567;0,01253369555073;-0,00000641069382517852;0,00071258053503934;0,00181519346696961;0,01300887746234;0,00178452410439977;0,0130444733648706;0,00192584932972085;0,0125514757170079;-0,000115818454783804;0,00206540336263451;-0,0000306693625698462;0,000659764687966611;0,0122413214985126
"15";"Normal_Normal_1e5";0,0000720634995383755;0,000658718950153196;0,000104609238794599;0,00381362348836322;0,0000482064195436688;0,000169198290401781;0,000176672738332974;0,00384014282249157;0,000169523390045107;0,00383718288711021;0,0000564028192509298;0,00381960861913567;0,000113120570794177;0,000574577207680702;-0,00000714934828786678;0,000210652119865149;0,0038764740298002
"16";"Normal_Skewed6_1e3";0,0610648892145171;0,034315137614536;-0,0406306895892034;0,0443107027053315;-0,042985214245251;0,0318094510381336;0,0202398843310803;0,0366169082461504;-0,000173673607963079;0,0313370526562535;0,00235452465604757;0,0321589089486599;-0,00304986548473991;0,00732783090344387;-0,0209598114963675;0,0197756979618652;0,0392764359311658
"17";"Normal_Skewed6_1e4";0,0607479102805331;0,0320228968547579;-0,0377511766856694;0,0326193818748973;-0,0397204521502523;0,0293436151210739;0,0228580361905409;0,0225512049037428;0,00183041771888849;0,013085766548336;0,00196927546458293;0,012593990927817;-0,00011331922868766;0,00206708482613749;-0,0210643170944497;0,0192262558181707;0,0122680560530877
"18";"Normal_Skewed6_1e5";0,0609652484637999;0,0319742266145115;-0,039572679560112;0,0298441754074292;-0,0396165540799347;0,0292839321862473;0,0212613606758216;0,019808856658015;0,000156459914090585;0,00383977238287514;0,0000438745198226802;0,00382257204511598;0,000112585394267905;0,000575712554709215;-0,0211012774686377;0,0192050503342013;0,00388321755714109
"19";"Normal_Uniform_1e3";0,00466703151928951;0,00537018349946976;-0,00349326359589597;0,0317777428035973;-0,00563248813783618;0,00642497527192086;0,00140535883183639;0,0313429501864169;-0,000376968841503078;0,031276195335641;0,00213922454194021;0,0321196161644353;-0,00302390280686891;0,00731933404108923;-0,00187980492089674;0,00130321528737433;0,039234287880734
"20";"Normal_Uniform_1e4";0,00528753764291555;0,00398515661976739;-0,0016645182318608;0,0132614105253082;-0,00355788741890265;0,00378785932520285;0,00362301941105475;0,0131319287369715;0,00174882760825612;0,0130292210216394;0,00189336918704186;0,0125357452123242;-0,000119005992661102;0,00206171023034029;-0,00185578704354886;0,00129543282206131;0,0122338628445913
"21";"Normal_Uniform_1e5";0,00534134194340537;0,00364189884852562;-0,00316761422772116;0,00508745401650583;-0,00320038448862762;0,002931230057358;0,00218334095638383;0,0039565143587641;0,000294158706272617;0,00368662847832239;0,0000327702609064596;0,00378109985259433;0,000263715468409464;0,0008964043291425;-0,00189119390694938;0,00140460022675586;0,0038103410797044
"22";"T4_Normal_1e3";-0,000191706868840206;0,00945106665307176;-0,00366872338180544;0,0456897905913275;-0,0163924036603647;0,0352572364543115;-0,00202174443383724;0,0422743489632277;-0,00152844468511492;0,0421106760944692;0,0127236802785593;0,0515371350168708;-0,013526279975913;0,0250069274061617;0,000493299748722318;0,00269666957211156;0,0382981141887094
"23";"T4_Normal_1e4";-0,000533780294943152;0,00432114647398456;-0,0139187001195155;0,0133474705415288;-0,0155365443110748;0,029309577270201;-0,0142705230443371;0,012641401371621;-0,0138971648625475;0,0129111867887268;0,00161784419155929;0,0296002496879284;-0,0155344006014282;0,0286489835924754;0,0005793931429306;0,000995170892500993;0,0122471305328507
"24";"T4_Normal_1e5";-0,000874482654243841;0,00338744167497452;-0,014348726587105;0,00704636851112438;-0,0160869753082392;0,031993359817733;-0,0152232092413488;0,00608954204655916;-0,0146317620604133;0,00607784640617864;0,0017382487211342;0,0291722594809022;-0,0163700107815475;0,0307477888453478;0,00059144718093553;0,000523056479393619;0,00386004257781413
"25";"T4_Skewed6_1e3";0,0857934045413256;0,0527810063947176;-0,0593444016652883;0,0687573987061124;-0,07280813202672;0,0615579820588483;0,0268551486910446;0,0471519817645132;-0,00103058108828238;0,0428791996397238;0,0134637303614316;0,0528406645644395;-0,0137483368235216;0,0253310971370888;-0,0294508866477999;0,0189447350227053;0,0385168472518281
"26";"T4_Skewed6_1e4";0,0848585413082445;0,0542491050163757;-0,070227657804885;0,056138043810671;-0,0718412294498018;0,0591093314441198;0,0142395225726505;0,0229655083642942;-0,0137860702852955;0,0127073024888892;0,0016135716449168;0,029290025314285;-0,0154206812913458;0,0291444638302038;-0,0281739836748947;0,0181521581720776;0,0123143335825769
"27";"T4_Skewed6_1e5";0,0841906001751036;0,0534076790508145;-0,0703547564570364;0,0539743879361237;-0,0719991079123035;0,0590031156935948;0,0135437979893851;0,01879457588848;-0,0144345071140379;0,00599445452259894;0,00164435145526713;0,0293695282799277;-0,0160788585693051;0,0310235190260409;-0,0280365041359479;0,0178845668795083;0,00387526201052376
"28";"T4_Uniform_1e3";0,00782615754078826;0,0109670417275977;-0,00957578211436517;0,047118958715733;-0,0217955022792348;0,0379200492869955;-0,00000566405742725716;0,0421516179649851;-0,00197236508165952;0,042235538863328;0,0122197201648696;0,0516616316906679;-0,0134526545713332;0,0249119785101727;-0,00191755003362475;0,00128536098441884;0,0382496404742245
"29";"T4_Uniform_1e4";0,00805783220727097;0,0107767587412925;-0,0201178626829852;0,0170892746376923;-0,0217065613693041;0,033366334756378;-0,0120600304757142;0,0130045772851171;-0,0138931691014314;0,0128592254401928;0,00158869868631893;0,0294952613125153;-0,0155009786383781;0,0285424064756704;-0,00181717984177643;0,00127568906472035;0,0122270557569941
"30";"T4_Uniform_1e5";0,00782530224849662;0,0098687272668153;-0,0206445637067021;0,0130087830227417;-0,0223828124278363;0,0354820100228856;-0,0128192614582055;0,00625699415799831;-0,0146317620604133;0,00607784640617864;0,0017382487211342;0,0291722594809022;-0,0163700107815475;0,0307477888453478;-0,00181250060220776;0,00125496167109245;0,00386004257781413
